53,3668650793651000
76,3092063492063000
72,6329861111111000
53,1091269841270000
50,3528902116402000
36,3500000000000000
56,6437698412698000
52,5002645502645000
41,8042857142857000
61,6150793650794000
*** *** *** *** *** ***
87,7926190476190000
59,1964285714286000
90,2670634920635000
92,2388888888889000
72,1038832199546000
84,9823412698413000
87,4347222222222000
77,6962018140590000
103,4896825396830000
77,8970804988662000
*** *** *** *** *** ***
58,1088183421517000
63,6683752204586000
68,0946924603175000
80,1447751322751000
58,6181944444444000
63,6719742063492000
43,6150793650794000
31,1699173280423000
48,8335758377425000
58,8410383597884000
*** *** *** *** *** ***
