76,4736700000000000
80,6539600000000000
46,8149100000000000
62,5137600000000000
72,5670200000000000
63,2102500000000000
44,3523800000000000
47,9295100000000000
115,0800000000000000
55,1840900000000000
*** *** *** *** *** ***
71,5598500000000000
77,3815500000000000
106,8800000000000000
61,9389400000000000
87,3771700000000000
62,2407900000000000
110,5958000000000000
82,2346800000000000
98,0275100000000000
67,8862300000000000
*** *** *** *** *** ***
100,7364000000000000
63,9415400000000000
64,2877100000000000
90,0683800000000000
48,3131000000000000
55,3474100000000000
55,6080700000000000
66,9628000000000000
63,6912000000000000
72,6359600000000000
*** *** *** *** *** ***
